current_bmi,activity_level,fitness_goal,age,gender,target_bmi
16.3,moderate,lean muscle gain,38,male,24.6
16.5,moderate,lean muscle gain,53,female,19.1
17.4,light,extreme weight gain,47,female,18.6
15.0,sedentary,extreme weight gain,39,male,24.9
16.5,moderate,moderate weight gain,45,female,20.4
16.2,moderate,extreme weight gain,20,male,21.4
17.1,light,extreme weight gain,42,female,19.6
16.9,light,lean muscle gain,19,female,21.0
15.8,active,lean muscle gain,25,male,22.9
15.6,light,extreme weight gain,19,female,21.0
16.8,very active,moderate weight gain,43,female,22.0
18.2,active,mild weight gain,57,male,24.2
16.3,very active,moderate weight gain,42,female,20.2
17.1,very active,lean muscle gain,18,male,20.3
18.4,active,aggressive weight gain,34,female,23.4
17.5,very active,moderate weight gain,56,female,23.4
15.4,active,moderate weight gain,50,female,24.0
16.3,very active,aggressive weight gain,61,female,22.8
15.9,moderate,lean muscle gain,64,female,22.1
17.9,moderate,mild weight gain,32,male,23.1
15.4,moderate,mild weight gain,49,female,21.3
18.1,very active,aggressive weight gain,46,female,20.1
18.2,moderate,extreme weight gain,19,female,22.3
17.7,active,extreme weight gain,61,female,22.6
16.4,light,extreme weight gain,42,male,24.2
18.1,moderate,mild weight gain,30,male,20.2
16.0,moderate,mild weight gain,54,male,19.6
15.4,moderate,mild weight gain,29,female,20.7
17.4,very active,mild weight gain,34,male,23.1
17.1,very active,mild weight gain,18,male,21.7
17.3,light,extreme weight gain,28,female,21.9
15.8,very active,extreme weight gain,51,female,23.2
16.4,sedentary,mild weight gain,23,female,23.7
15.1,moderate,extreme weight gain,36,female,22.3
16.7,active,mild weight gain,50,female,19.9
16.3,sedentary,aggressive weight gain,45,male,24.5
15.4,light,aggressive weight gain,24,female,24.4
15.6,active,extreme weight gain,19,male,24.8
15.3,very active,aggressive weight gain,26,male,24.2
16.2,moderate,extreme weight gain,41,female,23.1
17.7,moderate,mild weight gain,25,female,22.6
18.1,moderate,mild weight gain,52,male,22.4
15.0,light,moderate weight gain,52,female,19.5
18.4,active,mild weight gain,31,male,19.6
15.6,moderate,mild weight gain,50,female,20.8
15.3,very active,aggressive weight gain,25,male,20.9
16.5,sedentary,extreme weight gain,64,female,20.7
17.9,moderate,extreme weight gain,52,female,20.0
17.2,active,lean muscle gain,63,male,19.6
18.0,very active,lean muscle gain,63,male,23.3
16.9,active,lean muscle gain,38,female,24.8
17.9,light,mild weight gain,59,male,20.5
17.9,light,moderate weight gain,44,female,24.5
18.0,sedentary,mild weight gain,60,female,23.2
16.2,light,aggressive weight gain,42,female,20.4
18.1,sedentary,extreme weight gain,62,female,21.8
17.2,active,aggressive weight gain,40,male,23.0
16.3,moderate,mild weight gain,39,female,19.1
17.9,light,aggressive weight gain,54,male,20.1
17.8,active,lean muscle gain,56,female,20.2
17.9,moderate,extreme weight gain,33,male,19.7
18.3,moderate,mild weight gain,36,female,23.1
17.5,light,lean muscle gain,40,male,20.1
17.4,light,moderate weight gain,18,male,21.1
15.9,sedentary,lean muscle gain,18,female,22.0
16.8,very active,lean muscle gain,20,female,22.7
16.9,sedentary,lean muscle gain,31,female,19.5
15.2,active,lean muscle gain,29,female,18.8
15.3,active,mild weight gain,47,male,21.6
16.4,very active,extreme weight gain,51,female,22.4
16.3,light,mild weight gain,22,male,22.5
15.6,light,mild weight gain,45,female,19.0
17.2,active,moderate weight gain,52,female,23.6
15.4,moderate,lean muscle gain,29,male,23.7
17.8,moderate,extreme weight gain,46,male,22.7
15.7,very active,aggressive weight gain,52,male,20.9
15.2,light,moderate weight gain,43,female,20.5
17.8,active,moderate weight gain,62,male,20.3
18.0,very active,lean muscle gain,53,female,23.2
16.4,moderate,mild weight gain,52,female,22.1
15.4,very active,extreme weight gain,30,male,20.1
17.6,sedentary,mild weight gain,37,female,19.2
16.3,moderate,mild weight gain,53,female,20.4
18.3,sedentary,extreme weight gain,31,male,23.9
18.2,very active,lean muscle gain,52,female,22.2
16.1,active,lean muscle gain,40,female,22.8
17.7,light,moderate weight gain,56,female,19.1
16.9,very active,aggressive weight gain,28,female,21.3
18.3,light,extreme weight gain,34,male,22.9
